Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@http://the-internet.herokuapp.com/nested_frames,,
"*2",Browser,Switch to frame by name: [<Data>],switchToFrame,@frame-top,,
3,Browser,Switching control to the default window,switchToFrame,@frame-left,,
"*4",LEFT,Highlight the element [<Object>],highlight,,,Page
5,Browser,Switching control to the default window,switchToParentFrame,,,
"//6",Browser,Switching control to the default window,switchToFrame,@frame-top,,
7,Browser,Switching control to the default window,switchToFrame,@frame-middle,,
8,MIDDLE,Highlight the element [<Object>],highlight,,,Page
9,Browser,Switching control to the default window,switchToParentFrame,,,
"//10",Browser,Switching control to the default window,switchToFrame,@frame-top,,
11,RIGHT,Highlight the element [<Object>],highlight,,,Page
12,BOTTOM,Highlight the element [<Object>],highlight,,,Page
"*13",Browser,Wait for [<Data>] milli seconds,pause,@1,,
