Step,ObjectName,Description,Action,Input,Condition,Reference
"//1",Browser,Open the Url [<Data>] in the Browser,Open,@https://www.saucedemo.com/,,
"//2",UserID,Enter the value [<Data>] in the Field [<Object>],Set,@standard_user,,SwagLabsHome
"//3",Password,Enter the value [<Data>] in the Field [<Object>],Set,@test,,SwagLabsHome
"//4",[Login] Button,"Click the [<Object>] ",Click,,,SwagLabsHome
"//5",Browser,"Take a Screen Shot ",takeScreenshot,,,
"//6",Username,"Click the [<Object>] ",Click,,,Swag
7,Browser,Add a variable to access within testcase,AddVar,=Round(=Random(6)):,%var%,
8,Browser,print the data [<Data>],print,%var%,,
9,Browser,Add a variable to access within testcase,AddVar,=Random(6):,%var%,
10,Browser,print the data [<Data>],print,%var%,,
11,Browser,Add a variable to access within testcase,AddVar,"=Date(0,dd-MM-yyyy):",%var%,
12,Browser,print the data [<Data>],print,%var%,,
13,Browser,Add a variable to access within testcase,AddVar,"=Date(+5,dd/MM/yyyy):",%var%,
14,Browser,print the data [<Data>],print,%var%,,
15,Browser,Add a variable to access within testcase,AddVar,"=Date(-10,yyyyddMM):",%var%,
16,Browser,print the data [<Data>],print,%var%,,
