Step,ObjectName,Description,Action,Input,Condition,Reference
1,Webservice,"Set End Point ",setEndPoint,@https://jsonplaceholder.typicode.com/posts,,
2,Webservice,"POST Rest Request ",postRestRequest,"{     ""title"": ""foo1"",     ""body"": ""bar1"",     ""userId"": 999,  }",,
3,Webservice,"Store Response Message In DataSheet ",storeResponseBodyInDataSheet,RestData:Response,,
4,Webservice,"Assert Response Code ",assertResponseCode,@201,,
"//5",Webservice,"Store Response Message In DataSheet ",storeJSONelementInDataSheet,RestData:ID,$.id,
6,Webservice,"Close the connection ",closeConnection,,,
7,Webservice,"Set End Point ",setEndPoint,@https://jsonplaceholder.typicode.com/posts/101,,
8,Webservice,"GET Rest Request ",getRestRequest,,,
9,Webservice,"Store Response Message In DataSheet ",storeResponseBodyInDataSheet,RestData:Response,,
10,Webservice,"Close the connection ",closeConnection,,,
